"filename", "language", "C++", "YAML", "Markdown", "Dart", "JSON", "Properties", "Groovy", "XML", "HTML", "Swift", "comment", "blank", "total"
"e:\Dev\Projects\HTI\jwt_auth\lib\screens\download_dialog.dart", "Dart", 0, 0, 0, 71, 0, 0, 0, 0, 0, 0, 0, 9, 80
"e:\Dev\Projects\HTI\jwt_auth\lib\screens\home.dart", "Dart", 0, 0, 0, 293, 0, 0, 0, 0, 0, 0, 3, 17, 313
"e:\Dev\Projects\HTI\jwt_auth\lib\screens\login.dart", "Dart", 0, 0, 0, 99, 0, 0, 0, 0, 0, 0, 1, 6, 106
"e:\Dev\Projects\HTI\jwt_auth\lib\screens\survey_page.dart", "Dart", 0, 0, 0, 259, 0, 0, 0, 0, 0, 0, 4, 13, 276
"e:\Dev\Projects\HTI\jwt_auth\lib\screens\ticket_page.dart", "Dart", 0, 0, 0, 774, 0, 0, 0, 0, 0, 0, 16, 33, 823
"e:\Dev\Projects\HTI\jwt_auth\lib\services\api_service.dart", "Dart", 0, 0, 0, 314, 0, 0, 0, 0, 0, 0, 6, 37, 357
"e:\Dev\Projects\HTI\jwt_auth\lib\services\auth_service.dart", "Dart", 0, 0, 0, 62, 0, 0, 0, 0, 0, 0, 1, 11, 74
"e:\Dev\Projects\HTI\jwt_auth\lib\services\check_permissions.dart", "Dart", 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 2, 24
"e:\Dev\Projects\HTI\jwt_auth\lib\services\location_services.dart", "Dart", 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 2, 6, 32
"e:\Dev\Projects\HTI\jwt_auth\lib\theme\colors.dart", "Dart", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 2, 9
"e:\Dev\Projects\HTI\jwt_auth\lib\theme\routes.dart", "Dart", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 1, 1, 6
"e:\Dev\Projects\HTI\jwt_auth\lib\theme\theme.dart", "Dart", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 2, 9
"e:\Dev\Projects\HTI\jwt_auth\lib\widgets\comment_card.dart", "Dart", 0, 0, 0, 53, 0, 0, 0, 0, 0, 0, 0, 4, 57
