"filename", "language", "Dart", "JSON", "C++", "YAML", "Markdown", "Properties", "Groovy", "XML", "HTML", "Swift", "comment", "blank", "total"
"d:\Dev\Projects\Flutter\Tickets\Tickets\lib\screens\ticket_page.dart", "Dart", 753, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 37, 806
"d:\Dev\Projects\Flutter\Tickets\Tickets\lib\services\api_service.dart", "Dart", 300, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 38, 350
"d:\Dev\Projects\Flutter\Tickets\Tickets\lib\services\auth_service.dart", "Dart", 65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11, 77
"d:\Dev\Projects\Flutter\Tickets\Tickets\lib\services\check_permissions.dart", "Dart", 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 8, 42
"d:\Dev\Projects\Flutter\Tickets\Tickets\lib\services\debouncer.dart", "Dart", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 17
"d:\Dev\Projects\Flutter\Tickets\Tickets\lib\services\location_services.dart", "Dart", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 23
"d:\Dev\Projects\Flutter\Tickets\Tickets\lib\theme\colors.dart", "Dart", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9
"d:\Dev\Projects\Flutter\Tickets\Tickets\lib\theme\routes.dart", "Dart", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 6
"d:\Dev\Projects\Flutter\Tickets\Tickets\lib\theme\theme.dart", "Dart", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9
"d:\Dev\Projects\Flutter\Tickets\Tickets\lib\widgets\comment_card.dart", "Dart", 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 57
"d:\Dev\Projects\Flutter\Tickets\Tickets\lib\widgets\comment_section.dart", "Dart", 87, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8, 96
"d:\Dev\Projects\Flutter\Tickets\Tickets\lib\widgets\download_dialog.dart", "Dart", 89, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13, 103
"d:\Dev\Projects\Flutter\Tickets\Tickets\lib\widgets\error_dialog.dart", "Dart", 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 33
"d:\Dev\Projects\Flutter\Tickets\Tickets\lib\widgets\map_box.dart", "Dart", 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 65
"d:\Dev\Projects\Flutter\Tickets\Tickets\lib\widgets\text_field.dart", "Dart", 69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 72
"d:\Dev\Projects\Flutter\Tickets\Tickets\lib\widgets\ticket_card.dart", "Dart", 239, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11, 252
"e:\Dev\Projects\HTI\jwt_auth\README.md", "Markdown", 0, 0, 0, 0, -10, 0, 0, 0, 0, 0, 0, -7, -17
"e:\Dev\Projects\HTI\jwt_auth\analysis_options.yaml", "YAML", 0, 0, 0, -3, 0, 0, 0, 0, 0, 0, -22, -4, -29
"e:\Dev\Projects\HTI\jwt_auth\android\app\build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, -51, 0, 0, 0, -5, -12, -68
"e:\Dev\Projects\HTI\jwt_auth\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, -6, 0, 0, -4, -2, -12
"e:\Dev\Projects\HTI\jwt_auth\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, -54, 0, 0, -8, -4, -66
"e:\Dev\Projects\HTI\jwt_auth\android\app\src\main\res\drawable-v21\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, -4, 0, 0, -7, -2, -13
"e:\Dev\Projects\HTI\jwt_auth\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, -4, 0, 0, -7, -2, -13
"e:\Dev\Projects\HTI\jwt_auth\android\app\src\main\res\values-night\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, -9, 0, 0, -9, -1, -19
"e:\Dev\Projects\HTI\jwt_auth\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, -9, 0, 0, -9, -1, -19
"e:\Dev\Projects\HTI\jwt_auth\android\app\src\main\res\xml\file_paths.xml", "XML", 0, 0, 0, 0, 0, 0, 0, -4, 0, 0, 0, 0, -4
"e:\Dev\Projects\HTI\jwt_auth\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, -5, 0, 0, -4, -2, -11
"e:\Dev\Projects\HTI\jwt_auth\android\build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, -37, 0, 0, 0, 0, -5, -42
"e:\Dev\Projects\HTI\jwt_auth\android\gradle.properties", "Properties", 0, 0, 0, 0, 0, -3, 0, 0, 0, 0, 0, -1, -4
"e:\Dev\Projects\HTI\jwt_auth\android\gradle\wrapper\gradle-wrapper.properties", "Properties", 0, 0, 0, 0, 0, -5, 0, 0, 0, 0, 0, -1, -6
"e:\Dev\Projects\HTI\jwt_auth\android\settings.gradle", "Groovy", 0, 0, 0, 0, 0, 0, -16, 0, 0, 0, 0, -5, -21
"e:\Dev\Projects\HTI\jwt_auth\docs.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"e:\Dev\Projects\HTI\jwt_auth\ios\RunnerTests\RunnerTests.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 0, -7, -2, -4, -13
"e:\Dev\Projects\HTI\jwt_auth\ios\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 0, -12, 0, -2, -14
